,Player_ID,DISPLAY_LAST_COMMA_FIRST,TEAM_NAME,+-AVG,AST,AST/36,AVMIN,BLK,BLK/36,FG/36,FGA,FG_PCT,FT/36,FTM,FT_PCT,MIN,PTS,PTS/36,REB,REB/36
1,203500,"Adams, Steven",Thunder,11.5,11.0,1.08196721311,26.1428571429,16.0,1.5737704918,7.77049180328,79.0,0.651571428571,2.95081967213,30.0,0.51,366.0,130.0,12.7868852459,96.0,9.44262295082
3,201582,"Ajinca, Alexis",Pelicans,2.83333333333,9.0,2.26573426573,11.9166666667,6.0,1.51048951049,9.81818181818,39.0,0.447416666667,1.76223776224,7.0,0.25,143.0,45.0,11.3286713287,55.0,13.8461538462
4,202332,"Aldrich, Cole",Clippers,-0.642857142857,15.0,2.72727272727,14.1428571429,12.0,2.18181818182,13.4545454545,74.0,0.442785714286,4.36363636364,24.0,0.437928571429,198.0,100.0,18.1818181818,67.0,12.1818181818
18,201202,"Anthony, Joel",Pistons,-1.0,0.0,0.0,3.4,2.0,4.23529411765,6.35294117647,3.0,0.2,0.0,0.0,0.0,17.0,2.0,4.23529411765,6.0,12.7058823529
22,201600,"Asik, Omer",Pelicans,-0.571428571429,6.0,0.8,19.2857142857,12.0,1.6,7.06666666667,53.0,0.447214285714,1.73333333333,13.0,0.297642857143,270.0,69.0,9.2,111.0,14.8
26,203946,"Bairstow, Cameron",Bulls,-1.0,1.0,1.63636363636,3.66666666667,1.0,1.63636363636,13.0909090909,8.0,0.333333333333,0.0,0.0,0.0,22.0,4.0,6.54545454545,10.0,16.3636363636
42,202687,"Biyombo, Bismack",Raptors,6.35714285714,4.0,0.529411764706,19.4285714286,25.0,3.30882352941,5.55882352941,42.0,0.631,3.30882352941,25.0,0.432142857143,272.0,77.0,10.1911764706,88.0,11.6470588235
45,201971,"Blair, DeJuan",Wizards,-0.375,3.0,2.03773584906,6.625,0.0,0.0,13.5849056604,20.0,0.34375,0.0,0.0,0.0,53.0,24.0,16.3018867925,12.0,8.15094339623
48,101106,"Bogut, Andrew",Warriors,6.625,31.0,3.3115727003,21.0625,22.0,2.35014836795,7.15727002967,67.0,0.5859375,0.213649851632,2.0,0.0625,337.0,80.0,8.54599406528,127.0,13.5667655786
52,2547,"Bosh, Chris",Heat,-1.94117647059,49.0,3.04137931034,34.1176470588,9.0,0.558620689655,16.0137931034,258.0,0.486235294118,4.53103448276,73.0,0.712411764706,580.0,348.0,21.6,112.0,6.95172413793
76,2199,"Chandler, Tyson",Suns,-11.3571428571,24.0,2.46153846154,25.0714285714,8.0,0.820512820513,6.76923076923,66.0,0.481,2.5641025641,25.0,0.472642857143,351.0,87.0,8.92307692308,136.0,13.9487179487
86,202326,"Cousins, DeMarcus",Kings,5.73333333333,47.0,3.08759124088,36.5333333333,19.0,1.24817518248,22.598540146,344.0,0.479333333333,8.14598540146,124.0,0.738133333333,548.0,473.0,31.0729927007,193.0,12.6788321168
100,203473,"Dedmon, Dewayne",Magic,-1.1,2.0,0.972972972973,7.4,6.0,2.91891891892,7.2972972973,15.0,0.3667,1.45945945946,3.0,0.15,74.0,21.0,10.2162162162,22.0,10.7027027027
